Type,TurnID,Category,Timestamp,Message
Log,0,EnemyThinker,17030171.226959,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17030171.227215,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17030171.227227,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17030171.227237,[UnitManager] Registered enemy BP_EnemyUnitBase_C_2 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17030171.227248,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 3/5: BP_EnemyUnitBase_C_2
Log,0,Temp,17030171.227258,"[UnitManager::SpawnEnemyUnits] Spawning enemy at: X=5950.000 Y=2550.000 Z=44.500 (Z=44.50, HalfHeight=44.00)"
Log,0,EnemyUnit,17030171.227307,[Constructor] ASC created for enemy unit (deferred controller spawn enabled)
Log,0,BlueprintUserMessages,17030171.227901,[ABP_TBS_Mannequin_Base_C_0] false
Log,0,AIController,17030171.229818,"[LyraTBSAIController] Constructor: bWantsPlayerState=true, TeamId=NoTeam"
Log,0,AttackAbility,17030171.229918,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.229971,[PossessedBy] ========== START: BP_EnemyUnitBase_C_3 ==========
Display,0,EnemyUnit,17030171.229985,[PossessedBy] EnemyPawnData=TBS_EnemyPawnData (before Super)
Log,0,EnemyUnit,17030171.230000,[PossessedBy] ✅ SetPawnData before Super: TBS_EnemyPawnData
Log,0,AttackAbility,17030171.230017,"[GA_AttackBase] Constructor: Registered trigger GameplayEvent.Intent.Attack, ActivationBlocked=2, ActivationOwned=1"
Log,0,EnemyUnit,17030171.230029,[GrantAbilitySets] AbilitySet granted: AS_TBS_UnitCore for BP_EnemyUnitBase_C_3
Log,0,EnemyUnit,17030171.230044,[GrantAbilitySets] ✅ Abilities=4 AttrSets=2 for BP_EnemyUnitBase_C_3
Log,0,EnemyUnit,17030171.230055,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.230067,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.230078,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_3
Log,0,EnemyUnit,17030171.230090,[EnemyUnitBase] Added Faction.Enemy to BP_EnemyUnitBase_C_3
Log,0,EnemyUnit,17030171.230101,[PossessedBy] ✅ ASC initialized via PawnExtension (Owner=BP_EnemyUnitBase_C_3)
Log,0,EnemyUnit,17030171.230113,[PossessedBy] ========== END: BP_EnemyUnitBase_C_3 ==========
Log,0,AIController,17030171.230126,"[LyraTBSAIController] OnPossess: Pawn=BP_EnemyUnitBase_C_3, PlayerState=LyraPlayerState_TBS_4"
Log,0,AIController,17030171.230137,[LyraTBSAIController] LyraTBSAIController_3 SetGenericTeamId: 255 -> 2
Log,0,AIController,17030171.230148,[LyraTBSAIController] OnPossess: TeamId set from NoTeam(255) to Enemy(2)
Log,0,AIController,17030171.230161,"[LyraTBSAIController] InitializeASC: Server-side ASC initialized for Pawn=BP_EnemyUnitBase_C_3, PlayerState=LyraPlayerState_TBS_4"
Log,0,EnemyUnit,17030171.230174,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.230186,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.230197,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_3
Warning,0,UnitBase,17030171.230209,[PostInitializeComponents] ✅ ASC callbacks registered for BP_EnemyUnitBase_C_3
Log,0,EnemyUnit,17030171.230218,[OnAbilitySystemInitialized] ASC has 2 AttributeSets
Log,0,EnemyUnit,17030171.230229,[OnAbilitySystemInitialized]   - Found HealthSet: LyraHealthSet
Log,0,EnemyUnit,17030171.230241,[OnAbilitySystemInitialized] ✅ HealthComponent initialized for BP_EnemyUnitBase_C_3
Log,0,EnemyUnit,17030171.230252,[PostInitializeComponents] ✅ ASC initialization callbacks registered
Log,0,EnemyThinker,17030171.230263,[EnemyThinker] UGridPathfindingSubsystem cached
Log,0,EnemyThinker,17030171.230274,[EnemyThinker] UGridPathfindingSubsystem cached
Display,0,UnitMovement,17030171.230452,[UnitMovementComponent] UpdateSpeedFromStats: PixelsPerSec 300.0 -> 600.0 (Stat=600.0)
Log,0,UnitBase,17030171.230465,"SetStatVars: Team=2, MovementRange=3"
Log,0,Temp,17030171.230496,[UnitManager] Registered enemy BP_EnemyUnitBase_C_3 to TeamSubsystem with TeamID=2 (Success=1)
Log,0,Temp,17030171.230510,[UnitManager::SpawnEnemyUnits] Successfully spawned enemy 4/5: BP_EnemyUnitBase_C_3
